218	3	0
0	0.0132	0	
1	23	2	
2	23	2	
3	23	2	
4	23	2	
5	23	2	
6	23	2	
7	23	2	
8	23	2	
9	23	2	
10	23	2	
11	23	2	
12	23	2	
13	23	2	
14	23	2	
15	23	2	
16	23	2	
17	23	2	
18	23	2	
19	23	2	
20	23	2	
21	23	2	
22	23	2	
23	23	2	
24	23	2	
25	23	2	
26	23	2	
27	23	2	
28	23	2	
29	23	2	
30	23	2	
31	23	2	
32	23	2	
33	23	2	
34	23	2	
35	23	2	
36	23	2	
37	23	2	
38	23	2	
39	23	2	
40	23	2	
41	23	2	
42	23	2	
43	23	2	
44	23	2	
45	23	2	
46	23	2	
47	23	2	
48	23	2	
49	23	2	
50	23	2	
51	23	2	
52	23	2	
53	23	2	
54	8	1	
55	0.0132	0	
109	8	1	
110	0.0132	0	
164	8	1	
165	0.0132	0	
219	8	1	
220	0.0132	0	
274	8	1	
275	0.0132	0	
329	8	1	
330	0.0132	0	
384	8	1	
385	0.0132	0	
439	8	1	
440	0.0132	0	
494	8	1	
495	0.0132	0	
549	8	1	
550	0.0132	0	
604	8	1	
605	0.0132	0	
659	8	1	
660	0.0132	0	
714	8	1	
715	0.0132	0	
769	8	1	
770	0.0132	0	
824	8	1	
825	0.0132	0	
879	8	1	
880	0.0132	0	
934	8	1	
935	0.0132	0	
989	8	1	
990	0.0132	0	
1044	8	1	
1045	0.0132	0	
1099	8	1	
1100	0.0132	0	
1154	8	1	
1155	0.0132	0	
1209	8	1	
1210	0.0132	0	
1264	8	1	
1265	0.0132	0	
1319	8	1	
1320	0.0132	0	
1374	8	1	
1375	0.0132	0	
1429	8	1	
1430	0.0132	0	
1484	8	1	
1485	0.0132	0	
1539	8	1	
1540	0.0132	0	
1594	8	1	
1595	0.0132	0	
1649	8	1	
1650	0.0132	0	
1704	8	1	
1705	0.0132	0	
1759	8	1	
1760	0.0132	0	
1814	8	1	
1815	0.0132	0	
1869	8	1	
1870	0.0132	0	
1924	8	1	
1925	0.0132	0	
1979	8	1	
1980	0.0132	0	
2034	8	1	
2035	0.0132	0	
2089	8	1	
2090	0.0132	0	
2144	8	1	
2145	0.0132	0	
2199	8	1	
2200	0.0132	0	
2254	8	1	
2255	0.0132	0	
2309	8	1	
2310	0.0132	0	
2364	8	1	
2365	0.0132	0	
2419	8	1	
2420	0.0132	0	
2474	8	1	
2475	0.0132	0	
2529	8	1	
2530	0.0132	0	
2584	8	1	
2585	0.0132	0	
2639	8	1	
2640	0.0132	0	
2694	8	1	
2695	0.0132	0	
2749	8	1	
2750	0.0132	0	
2804	8	1	
2805	0.0132	0	
2859	8	1	
2860	0.0132	0	
2914	8	1	
2915	0.0132	0	
2969	8	1	
2970	0.0132	0	
3024	8	1	
3025	0.0132	0	
3026	0.0024807	3	
3027	0.0024807	3	
3028	0.0024807	3	
3029	0.0024807	3	
3030	0.0024807	3	
3031	0.0024807	3	
3032	0.0024807	3	
3033	0.0024807	3	
3034	0.0024807	3	
3035	0.0024807	3	
3036	0.0024807	3	
3037	0.0024807	3	
3038	0.0024807	3	
3039	0.0024807	3	
3040	0.0024807	3	
3041	0.0024807	3	
3042	0.0024807	3	
3043	0.0024807	3	
3044	0.0024807	3	
3045	0.0024807	3	
3046	0.0024807	3	
3047	0.0024807	3	
3048	0.0024807	3	
3049	0.0024807	3	
3050	0.0024807	3	
3051	0.0024807	3	
3052	0.0024807	3	
3053	0.0024807	3	
3054	0.0024807	3	
3055	0.0024807	3	
3056	0.0024807	3	
3057	0.0024807	3	
3058	0.0024807	3	
3059	0.0024807	3	
3060	0.0024807	3	
3061	0.0024807	3	
3062	0.0024807	3	
3063	0.0024807	3	
3064	0.0024807	3	
3065	0.0024807	3	
3066	0.0024807	3	
3067	0.0024807	3	
3068	0.0024807	3	
3069	0.0024807	3	
3070	0.0024807	3	
3071	0.0024807	3	
3072	0.0024807	3	
3073	0.0024807	3	
3074	0.0024807	3	
3075	0.0024807	3	
3076	0.00164206	3	
3077	0.00164206	3	
3078	0.00164206	3	
3079	8	1	

