3080	4	0	0
1	55	-1	-1	
2	56	0	-1	
3	57	1	-1	
4	58	2	-1	
5	59	3	-1	
6	60	4	-1	
7	61	5	-1	
8	62	6	-1	
9	63	7	-1	
10	64	8	-1	
11	65	9	-1	
12	66	10	-1	
13	67	11	-1	
14	68	12	-1	
15	69	13	-1	
16	70	14	-1	
17	71	15	-1	
18	72	16	-1	
19	73	17	-1	
20	74	18	-1	
21	75	19	-1	
22	76	20	-1	
23	77	21	-1	
24	78	22	-1	
25	79	23	-1	
26	80	24	-1	
27	81	25	-1	
28	82	26	-1	
29	83	27	-1	
30	84	28	-1	
31	85	29	-1	
32	86	30	-1	
33	87	31	-1	
34	88	32	-1	
35	89	33	-1	
36	90	34	-1	
37	91	35	-1	
38	92	36	-1	
39	93	37	-1	
40	94	38	-1	
41	95	39	-1	
42	96	40	-1	
43	97	41	-1	
44	98	42	-1	
45	99	43	-1	
46	100	44	-1	
47	101	45	-1	
48	102	46	-1	
49	103	47	-1	
50	104	48	-1	
51	105	49	-1	
52	106	50	-1	
53	107	51	-1	
54	108	52	-1	
-1	109	53	-1	
56	110	-1	0	
57	111	55	1	
58	112	56	2	
59	113	57	3	
60	114	58	4	
61	115	59	5	
62	116	60	6	
63	117	61	7	
64	118	62	8	
65	119	63	9	
66	120	64	10	
67	121	65	11	
68	122	66	12	
69	123	67	13	
70	124	68	14	
71	125	69	15	
72	126	70	16	
73	127	71	17	
74	128	72	18	
75	129	73	19	
76	130	74	20	
77	131	75	21	
78	132	76	22	
79	133	77	23	
80	134	78	24	
81	135	79	25	
82	136	80	26	
83	137	81	27	
84	138	82	28	
85	139	83	29	
86	140	84	30	
87	141	85	31	
88	142	86	32	
89	143	87	33	
90	144	88	34	
91	145	89	35	
92	146	90	36	
93	147	91	37	
94	148	92	38	
95	149	93	39	
96	150	94	40	
97	151	95	41	
98	152	96	42	
99	153	97	43	
100	154	98	44	
101	155	99	45	
102	156	100	46	
103	157	101	47	
104	158	102	48	
105	159	103	49	
106	160	104	50	
107	161	105	51	
108	162	106	52	
109	163	107	53	
-1	164	108	54	
111	165	-1	55	
112	166	110	56	
113	167	111	57	
114	168	112	58	
115	169	113	59	
116	170	114	60	
117	171	115	61	
118	172	116	62	
119	173	117	63	
120	174	118	64	
121	175	119	65	
122	176	120	66	
123	177	121	67	
124	178	122	68	
125	179	123	69	
126	180	124	70	
127	181	125	71	
128	182	126	72	
129	183	127	73	
130	184	128	74	
131	185	129	75	
132	186	130	76	
133	187	131	77	
134	188	132	78	
135	189	133	79	
136	190	134	80	
137	191	135	81	
138	192	136	82	
139	193	137	83	
140	194	138	84	
141	195	139	85	
142	196	140	86	
143	197	141	87	
144	198	142	88	
145	199	143	89	
146	200	144	90	
147	201	145	91	
148	202	146	92	
149	203	147	93	
150	204	148	94	
151	205	149	95	
152	206	150	96	
153	207	151	97	
154	208	152	98	
155	209	153	99	
156	210	154	100	
157	211	155	101	
158	212	156	102	
159	213	157	103	
160	214	158	104	
161	215	159	105	
162	216	160	106	
163	217	161	107	
164	218	162	108	
-1	219	163	109	
166	220	-1	110	
