3080	3	0
0.01	0.00714286	0.0001511	
0.03	0.00714286	0.0001511	
0.05	0.00714286	0.0001511	
0.07	0.00714286	0.0001511	
0.09	0.00714286	0.0001511	
0.11	0.00714286	0.0001511	
0.13	0.00714286	0.0001511	
0.15	0.00714286	0.0001511	
0.17	0.00714286	0.0001511	
0.19	0.00714286	0.0001511	
0.21	0.00714286	0.0001511	
0.23	0.00714286	0.0001511	
0.25	0.00714286	0.0001511	
0.27	0.00714286	0.0001511	
0.29	0.00714286	0.0001511	
0.31	0.00714286	0.0001511	
0.33	0.00714286	0.0001511	
0.35	0.00714286	0.0001511	
0.37	0.00714286	0.0001511	
0.39	0.00714286	0.0001511	
0.41	0.00714286	0.0001511	
0.43	0.00714286	0.0001511	
0.45	0.00714286	0.0001511	
0.47	0.00714286	0.0001511	
0.49	0.00714286	0.0001511	
0.51	0.00714286	0.00011364	
0.53	0.00714286	0.00011364	
0.55	0.00714286	0.00011364	
0.57	0.00714286	0.00011364	
0.59	0.00714286	0.00011364	
0.61	0.00714286	0.00011364	
0.63	0.00714286	0.00011364	
0.65	0.00714286	0.00011364	
0.67	0.00714286	0.00011364	
0.69	0.00714286	0.00011364	
0.71	0.00714286	0.00011364	
0.73	0.00714286	0.00011364	
0.75	0.00714286	0.00011364	
0.77	0.00714286	0.00011364	
0.79	0.00714286	0.00011364	
0.81	0.00714286	0.00011364	
0.83	0.00714286	0.00011364	
0.85	0.00714286	0.00011364	
0.87	0.00714286	0.00011364	
0.89	0.00714286	0.00011364	
0.91	0.00714286	0.00011364	
0.93	0.00714286	0.00011364	
0.95	0.00714286	0.00011364	
0.97	0.00714286	0.00011364	
0.99	0.00714286	0.00011364	
1.01	0.00714286	0.00011364	
1.03	0.00714286	0.00011364	
1.05	0.00714286	0.00011364	
1.07	0.00714286	0.00011364	
1.09	0.00714286	0.00011364	
0.01	0.0214286	0.0001511	
0.03	0.0214286	0.0001511	
0.05	0.0214286	0.0001511	
0.07	0.0214286	0.0001511	
0.09	0.0214286	0.0001511	
0.11	0.0214286	0.0001511	
0.13	0.0214286	0.0001511	
0.15	0.0214286	0.0001511	
0.17	0.0214286	0.0001511	
0.19	0.0214286	0.0001511	
0.21	0.0214286	0.0001511	
0.23	0.0214286	0.0001511	
0.25	0.0214286	0.0001511	
0.27	0.0214286	0.0001511	
0.29	0.0214286	0.0001511	
0.31	0.0214286	0.0001511	
0.33	0.0214286	0.0001511	
0.35	0.0214286	0.0001511	
0.37	0.0214286	0.0001511	
0.39	0.0214286	0.0001511	
0.41	0.0214286	0.0001511	
0.43	0.0214286	0.0001511	
0.45	0.0214286	0.0001511	
0.47	0.0214286	0.0001511	
0.49	0.0214286	0.0001511	
0.51	0.0214286	0.00011364	
0.53	0.0214286	0.00011364	
0.55	0.0214286	0.00011364	
0.57	0.0214286	0.00011364	
0.59	0.0214286	0.00011364	
0.61	0.0214286	0.00011364	
0.63	0.0214286	0.00011364	
0.65	0.0214286	0.00011364	
0.67	0.0214286	0.00011364	
0.69	0.0214286	0.00011364	
0.71	0.0214286	0.00011364	
