398	4	0	0
0	0	2	3	
1	0	2	3	
2	0	2	3	
3	0	2	3	
4	0	2	3	
5	0	2	3	
6	0	2	3	
7	0	2	3	
8	0	2	3	
9	0	2	3	
10	0	2	3	
11	0	2	3	
12	0	2	3	
13	0	2	3	
14	0	2	3	
15	0	2	3	
16	0	2	3	
17	0	2	3	
18	0	2	3	
19	0	2	3	
20	0	2	3	
21	0	2	3	
22	0	2	3	
23	0	2	3	
24	0	2	3	
25	0	2	3	
26	0	2	3	
27	0	2	3	
28	0	2	3	
29	0	2	3	
30	0	2	3	
31	0	2	3	
32	0	2	3	
33	0	2	3	
34	0	2	3	
35	0	2	3	
36	0	2	3	
37	0	2	3	
38	0	2	3	
39	0	2	3	
40	0	2	3	
41	0	2	3	
42	0	2	3	
43	0	2	3	
44	0	2	3	
45	0	2	3	
46	0	2	3	
47	0	2	3	
48	0	2	3	
49	0	2	3	
50	0	2	3	
51	0	2	3	
52	0	2	3	
53	0	2	3	
54	0	2	3	
55	0	2	3	
56	0	2	3	
57	0	2	3	
58	0	2	3	
59	0	2	3	
60	0	2	3	
61	0	2	3	
62	0	2	3	
63	0	2	3	
64	0	2	3	
65	0	2	3	
66	0	2	3	
67	0	2	3	
68	0	2	3	
69	0	2	3	
70	0	2	3	
71	0	2	3	
72	0	2	3	
73	0	2	3	
74	0	2	3	
75	0	2	3	
76	0	2	3	
77	0	2	3	
78	0	2	3	
79	0	2	3	
80	0	2	3	
81	0	2	3	
82	0	2	3	
83	0	2	3	
84	0	2	3	
85	0	2	3	
86	0	2	3	
87	0	2	3	
88	0	2	3	
89	0	2	3	
90	0	2	3	
91	0	2	3	
92	0	2	3	
93	0	2	3	
94	0	2	3	
95	0	2	3	
96	0	2	3	
97	0	2	3	
98	0	2	3	
99	0	2	3	
100	0	2	3	
101	0	2	2	
201	0	2	0	
202	0	2	2	
302	0	2	0	
303	0	2	2	
403	0	2	0	
404	0	2	2	
504	0	2	0	
505	0	2	2	
605	0	2	0	
606	0	2	2	
706	0	2	0	
707	0	2	2	
807	0	2	0	
808	0	2	2	
908	0	2	0	
909	0	2	2	
1009	0	2	0	
1010	0	2	2	
1110	0	2	0	
1111	0	2	2	
1211	0	2	0	
1212	0	2	2	
1312	0	2	0	
1313	0	2	2	
1413	0	2	0	
1414	0	2	2	
1514	0	2	0	
1515	0	2	2	
1615	0	2	0	
1616	0	2	2	
1716	0	2	0	
1717	0	2	2	
1817	0	2	0	
1818	0	2	2	
1918	0	2	0	
1919	0	2	2	
2019	0	2	0	
2020	0	2	2	
2120	0	2	0	
2121	0	2	2	
2221	0	2	0	
2222	0	2	2	
2322	0	2	0	
2323	0	2	2	
2423	0	2	0	
2424	0	2	2	
2524	0	2	0	
2525	0	2	2	
2625	0	2	0	
2626	0	2	2	
2726	0	2	0	
2727	0	2	2	
2827	0	2	0	
2828	0	2	2	
2928	0	2	0	
2929	0	2	2	
3029	0	2	0	
3030	0	2	2	
3130	0	2	0	
3131	0	2	2	
3231	0	2	0	
3232	0	2	2	
3332	0	2	0	
3333	0	2	2	
3433	0	2	0	
3434	0	2	2	
3534	0	2	0	
3535	0	2	2	
3635	0	2	0	
3636	0	2	2	
3736	0	2	0	
3737	0	2	2	
3837	0	2	0	
3838	0	2	2	
3938	0	2	0	
3939	0	2	2	
4039	0	2	0	
4040	0	2	2	
4140	0	2	0	
