398	4	0	0
0	0	3	3	
1	0	3	3	
2	0	3	3	
3	0	3	3	
4	0	3	3	
5	0	3	3	
6	0	3	3	
7	0	3	3	
8	0	3	3	
9	0	3	3	
10	0	3	3	
11	0	3	3	
12	0	3	3	
13	0	3	3	
14	0	3	3	
15	0	3	3	
16	0	3	3	
17	0	3	3	
18	0	3	3	
19	0	3	3	
20	0	3	3	
21	0	3	3	
22	0	3	3	
23	0	3	3	
24	0	3	3	
25	0	3	3	
26	0	3	3	
27	0	3	3	
28	0	3	3	
29	0	3	3	
30	0	3	3	
31	0	3	3	
32	0	3	3	
33	0	3	3	
34	0	3	3	
35	0	3	3	
36	0	3	3	
37	0	3	3	
38	0	3	3	
39	0	3	3	
40	0	3	3	
41	0	3	3	
42	0	3	3	
43	0	3	3	
44	0	3	3	
45	0	3	3	
46	0	3	3	
47	0	3	3	
48	0	3	3	
49	0	3	3	
50	0	3	3	
51	0	3	3	
52	0	3	3	
53	0	3	3	
54	0	3	3	
55	0	3	3	
56	0	3	3	
57	0	3	3	
58	0	3	3	
59	0	3	3	
60	0	3	3	
61	0	3	3	
62	0	3	3	
63	0	3	3	
64	0	3	3	
65	0	3	3	
66	0	3	3	
67	0	3	3	
68	0	3	3	
69	0	3	3	
70	0	3	3	
71	0	3	3	
72	0	3	3	
73	0	3	3	
74	0	3	3	
75	0	3	3	
76	0	3	3	
77	0	3	3	
78	0	3	3	
79	0	3	3	
80	0	3	3	
81	0	3	3	
82	0	3	3	
83	0	3	3	
84	0	3	3	
85	0	3	3	
86	0	3	3	
87	0	3	3	
88	0	3	3	
89	0	3	3	
90	0	3	3	
91	0	3	3	
92	0	3	3	
93	0	3	3	
94	0	3	3	
95	0	3	3	
96	0	3	3	
97	0	3	3	
98	0	3	3	
99	0	3	3	
100	0	3	2	
199	0	3	0	
200	0	3	2	
299	0	3	0	
300	0	3	2	
399	0	3	0	
400	0	3	2	
499	0	3	0	
500	0	3	2	
599	0	3	0	
600	0	3	2	
699	0	3	0	
700	0	3	2	
799	0	3	0	
800	0	3	2	
899	0	3	0	
900	0	3	2	
999	0	3	0	
1000	0	3	2	
1099	0	3	0	
1100	0	3	2	
1199	0	3	0	
1200	0	3	2	
1299	0	3	0	
1300	0	3	2	
1399	0	3	0	
1400	0	3	2	
1499	0	3	0	
1500	0	3	2	
1599	0	3	0	
1600	0	3	2	
1699	0	3	0	
1700	0	3	2	
1799	0	3	0	
1800	0	3	2	
1899	0	3	0	
1900	0	3	2	
1999	0	3	0	
2000	0	3	2	
2099	0	3	0	
2100	0	3	2	
2199	0	3	0	
2200	0	3	2	
2299	0	3	0	
2300	0	3	2	
2399	0	3	0	
2400	0	3	2	
2499	0	3	0	
2500	0	3	2	
2599	0	3	0	
2600	0	3	2	
2699	0	3	0	
2700	0	3	2	
2799	0	3	0	
2800	0	3	2	
2899	0	3	0	
2900	0	3	2	
2999	0	3	0	
3000	0	3	2	
3099	0	3	0	
