10100	3	0
0	0.00347652	0.0001	
0.00695303	0.00347652	0.0001	
0.0140041	0.00347652	0.0001	
0.0211546	0.00347652	0.0001	
0.028406	0.00347652	0.0001	
0.0357596	0.00347652	0.0001	
0.0432169	0.00347652	0.0001	
0.0507793	0.00347652	0.0001	
0.0584484	0.00347652	0.0001	
0.0662257	0.00347652	0.0001	
0.0741126	0.00347652	0.0001	
0.0821107	0.00347652	0.0001	
0.0902216	0.00347652	0.0001	
0.0984469	0.00347652	0.0001	
0.106788	0.00347652	0.0001	
0.115247	0.00347652	0.0001	
0.123825	0.00347652	0.0001	
0.132524	0.00347652	0.0001	
0.141346	0.00347652	0.0001	
0.150292	0.00347652	0.0001	
0.159365	0.00347652	0.0001	
0.168565	0.00347652	0.0001	
0.177895	0.00347652	0.0001	
0.187357	0.00347652	0.0001	
0.196952	0.00347652	0.0001	
0.206682	0.00347652	0.0001	
0.21655	0.00347652	0.0001	
0.226556	0.00347652	0.0001	
0.236704	0.00347652	0.0001	
0.246995	0.00347652	0.0001	
0.257431	0.00347652	0.0001	
0.268014	0.00347652	0.0001	
0.278747	0.00347652	0.0001	
0.289631	0.00347652	0.0001	
0.300668	0.00347652	0.0001	
0.311861	0.00347652	0.0001	
0.323211	0.00347652	0.0001	
0.334722	0.00347652	0.0001	
0.346395	0.00347652	0.0001	
0.358233	0.00347652	0.0001	
0.370238	0.00347652	0.0001	
0.382412	0.00347652	0.0001	
0.394757	0.00347652	0.0001	
0.407277	0.00347652	0.0001	
0.419973	0.00347652	0.0001	
0.432848	0.00347652	0.0001	
0.445905	0.00347652	0.0001	
0.459146	0.00347652	0.0001	
0.472574	0.00347652	0.0001	
0.486191	0.00347652	0.0001	
0.5	0.00347652	0.0001	
0.513809	0.00347652	0.0001	
0.527426	0.00347652	0.0001	
0.540854	0.00347652	0.0001	
0.554095	0.00347652	0.0001	
0.567152	0.00347652	0.0001	
0.580027	0.00347652	0.0001	
0.592723	0.00347652	0.0001	
0.605243	0.00347652	0.0001	
0.617588	0.00347652	0.0001	
0.629762	0.00347652	0.0001	
0.641767	0.00347652	0.0001	
0.653605	0.00347652	0.0001	
0.665278	0.00347652	0.0001	
0.676789	0.00347652	0.0001	
0.688139	0.00347652	0.0001	
0.699332	0.00347652	0.0001	
0.710369	0.00347652	0.0001	
0.721253	0.00347652	0.0001	
0.731986	0.00347652	0.0001	
0.742569	0.00347652	0.0001	
0.753005	0.00347652	0.0001	
0.763296	0.00347652	0.0001	
0.773444	0.00347652	0.0001	
0.78345	0.00347652	0.0001	
0.793318	0.00347652	0.0001	
0.803048	0.00347652	0.0001	
0.812643	0.00347652	0.0001	
0.822105	0.00347652	0.0001	
0.831435	0.00347652	0.0001	
0.840635	0.00347652	0.0001	
