297	4	0	0
0	0	3	3	
0	0	0	0	
1	1.36865e-08	2	3	
2	3.046e-08	2	3	
3	6.77899e-08	2	3	
4	1.50869e-07	2	3	
5	3.35765e-07	2	3	
6	7.4726e-07	2	3	
7	1.66306e-06	2	3	
8	3.7012e-06	2	3	
9	8.23714e-06	2	3	
10	1.8332e-05	2	3	
11	4.07982e-05	2	3	
12	9.07957e-05	2	3	
13	0.000202058	2	3	
14	0.000449634	2	3	
15	0.0010004	2	3	
16	0.00222507	2	3	
17	0.00494525	2	3	
18	0.0109726	2	3	
19	0.0242569	2	3	
20	0.053194	2	3	
21	0.114648	2	3	
22	0.238406	2	3	
23	0.46295	2	3	
24	0.802625	2	3	
25	1.19738	2	3	
26	1.53705	2	3	
27	1.76159	2	3	
28	1.88535	2	3	
29	1.94681	2	3	
30	1.97574	2	3	
31	1.98903	2	3	
32	1.99505	2	3	
33	1.99777	2	3	
34	1.999	2	3	
35	1.99955	2	3	
36	1.9998	2	3	
37	1.99991	2	3	
38	1.99996	2	3	
39	1.99998	2	3	
40	1.99999	2	3	
41	2	2	3	
42	2	2	3	
43	2	2	3	
44	2	2	3	
45	2	2	3	
46	2	2	3	
47	2	2	3	
48	2	2	3	
49	2	2	3	
50	2	2	3	
51	0	3	3	
52	0	3	3	
53	0	3	3	
54	0	3	3	
55	0	3	3	
56	0	3	3	
57	0	3	3	
58	0	3	3	
59	0	3	3	
60	0	3	3	
61	0	3	3	
62	0	3	3	
63	0	3	3	
64	0	3	3	
65	0	3	3	
66	0	3	3	
67	0	3	3	
68	0	3	3	
69	0	3	3	
70	0	3	3	
71	0	3	3	
72	0	3	3	
73	0	3	3	
74	0	3	3	
75	0	3	3	
76	0	3	3	
77	0	3	3	
78	0	3	3	
79	0	3	3	
80	0	3	3	
81	0	3	3	
82	0	3	3	
83	0	3	3	
84	0	3	3	
85	0	3	3	
86	0	3	3	
87	0	3	3	
88	0	3	3	
89	0	3	3	
90	0	3	3	
91	0	3	3	
92	0	3	3	
93	0	3	3	
94	0	3	3	
95	0	3	3	
96	0	3	3	
97	0	3	3	
98	0	3	3	
99	4.12231e-09	2	0	
100	4.12231e-09	2	2	
199	4.12231e-09	2	0	
200	4.12231e-09	2	2	
299	4.12231e-09	2	0	
300	4.12231e-09	2	2	
399	4.12231e-09	2	0	
400	4.12231e-09	2	2	
499	4.12231e-09	2	0	
500	4.12231e-09	2	2	
599	4.12231e-09	2	0	
600	4.12231e-09	2	2	
699	4.12231e-09	2	0	
700	4.12231e-09	2	2	
799	4.12231e-09	2	0	
800	4.12231e-09	2	2	
899	4.12231e-09	2	0	
900	4.12231e-09	2	2	
999	4.12231e-09	2	0	
1000	4.12231e-09	2	2	
1099	4.12231e-09	2	0	
1100	4.12231e-09	2	2	
1199	4.12231e-09	2	0	
1200	4.12231e-09	2	2	
1299	4.12231e-09	2	0	
1300	4.12231e-09	2	2	
1399	4.12231e-09	2	0	
1400	4.12231e-09	2	2	
1499	4.12231e-09	2	0	
1500	4.12231e-09	2	2	
1599	4.12231e-09	2	0	
1600	4.12231e-09	2	2	
1699	4.12231e-09	2	0	
1700	4.12231e-09	2	2	
1799	4.12231e-09	2	0	
1800	4.12231e-09	2	2	
1899	4.12231e-09	2	0	
1900	4.12231e-09	2	2	
1999	4.12231e-09	2	0	
2000	4.12231e-09	2	2	
2099	4.12231e-09	2	0	
2100	4.12231e-09	2	2	
2199	4.12231e-09	2	0	
2200	4.12231e-09	2	2	
2299	4.12231e-09	2	0	
2300	4.12231e-09	2	2	
2399	4.12231e-09	2	0	
2400	4.12231e-09	2	2	
2499	4.12231e-09	2	0	
2500	4.12231e-09	2	2	
2599	4.12231e-09	2	0	
2600	4.12231e-09	2	2	
2699	4.12231e-09	2	0	
2700	4.12231e-09	2	2	
2799	4.12231e-09	2	0	
2800	4.12231e-09	2	2	
2899	4.12231e-09	2	0	
2900	4.12231e-09	2	2	
2999	4.12231e-09	2	0	
3000	4.12231e-09	2	2	
3099	4.12231e-09	2	0	
3100	4.12231e-09	2	2	
3199	4.12231e-09	2	0	
3200	4.12231e-09	2	2	
3299	4.12231e-09	2	0	
3300	4.12231e-09	2	2	
3399	4.12231e-09	2	0	
3400	4.12231e-09	2	2	
3499	4.12231e-09	2	0	
3500	4.12231e-09	2	2	
3599	4.12231e-09	2	0	
3600	4.12231e-09	2	2	
3699	4.12231e-09	2	0	
3700	4.12231e-09	2	2	
3799	4.12231e-09	2	0	
3800	4.12231e-09	2	2	
3899	4.12231e-09	2	0	
3900	4.12231e-09	2	2	
3999	4.12231e-09	2	0	
4000	4.12231e-09	2	2	
4099	4.12231e-09	2	0	
4100	4.12231e-09	2	2	
4199	4.12231e-09	2	0	
4200	4.12231e-09	2	2	
4299	4.12231e-09	2	0	
4300	4.12231e-09	2	2	
4399	4.12231e-09	2	0	
4400	4.12231e-09	2	2	
4499	4.12231e-09	2	0	
4500	4.12231e-09	2	2	
4599	4.12231e-09	2	0	
4600	4.12231e-09	2	2	
4699	4.12231e-09	2	0	
4700	4.12231e-09	2	2	
4799	4.12231e-09	2	0	
4800	4.12231e-09	2	2	
4899	4.12231e-09	2	0	
4900	4.12231e-09	2	2	
4901	4.12231e-09	2	1	
4902	4.12231e-09	2	1	
4903	4.12231e-09	2	1	
4904	4.12231e-09	2	1	
4905	4.12231e-09	2	1	
4906	4.12231e-09	2	1	
4907	4.12231e-09	2	1	
4908	4.12231e-09	2	1	
4909	4.12231e-09	2	1	
4910	4.12231e-09	2	1	
4911	4.12231e-09	2	1	
4912	4.12231e-09	2	1	
4913	4.12231e-09	2	1	
4914	4.12231e-09	2	1	
4915	4.12231e-09	2	1	
4916	4.12231e-09	2	1	
4917	4.12231e-09	2	1	
4918	4.12231e-09	2	1	
4919	4.12231e-09	2	1	
4920	4.12231e-09	2	1	
4921	4.12231e-09	2	1	
4922	4.12231e-09	2	1	
4923	4.12231e-09	2	1	
4924	4.12231e-09	2	1	
4925	4.12231e-09	2	1	
4926	4.12231e-09	2	1	
4927	4.12231e-09	2	1	
4928	4.12231e-09	2	1	
4929	4.12231e-09	2	1	
4930	4.12231e-09	2	1	
4931	4.12231e-09	2	1	
4932	4.12231e-09	2	1	
4933	4.12231e-09	2	1	
4934	4.12231e-09	2	1	
4935	4.12231e-09	2	1	
4936	4.12231e-09	2	1	
4937	4.12231e-09	2	1	
4938	4.12231e-09	2	1	
4939	4.12231e-09	2	1	
4940	4.12231e-09	2	1	
4941	4.12231e-09	2	1	
4942	4.12231e-09	2	1	
4943	4.12231e-09	2	1	
4944	4.12231e-09	2	1	
4945	4.12231e-09	2	1	
4946	4.12231e-09	2	1	
4947	4.12231e-09	2	1	
4948	4.12231e-09	2	1	
4949	4.12231e-09	2	1	
4950	4.12231e-09	2	1	
4951	4.12231e-09	2	1	
4952	4.12231e-09	2	1	
4953	4.12231e-09	2	1	
4954	4.12231e-09	2	1	
4955	4.12231e-09	2	1	
4956	4.12231e-09	2	1	
4957	4.12231e-09	2	1	
4958	4.12231e-09	2	1	
4959	4.12231e-09	2	1	
4960	4.12231e-09	2	1	
4961	4.12231e-09	2	1	
4962	4.12231e-09	2	1	
4963	4.12231e-09	2	1	
4964	4.12231e-09	2	1	
4965	4.12231e-09	2	1	
4966	4.12231e-09	2	1	
4967	4.12231e-09	2	1	
4968	4.12231e-09	2	1	
4969	4.12231e-09	2	1	
4970	4.12231e-09	2	1	
4971	4.12231e-09	2	1	
4972	4.12231e-09	2	1	
4973	4.12231e-09	2	1	
4974	4.12231e-09	2	1	
4975	4.12231e-09	2	1	
4976	4.12231e-09	2	1	
4977	4.12231e-09	2	1	
4978	4.12231e-09	2	1	
4979	4.12231e-09	2	1	
4980	4.12231e-09	2	1	
4981	4.12231e-09	2	1	
4982	4.12231e-09	2	1	
4983	4.12231e-09	2	1	
4984	4.12231e-09	2	1	
4985	4.12231e-09	2	1	
4986	4.12231e-09	2	1	
4987	4.12231e-09	2	1	
4988	4.12231e-09	2	1	
4989	4.12231e-09	2	1	
4990	4.12231e-09	2	1	
4991	4.12231e-09	2	1	
4992	4.12231e-09	2	1	
4993	4.12231e-09	2	1	
4994	4.12231e-09	2	1	
4995	4.12231e-09	2	1	
4996	4.12231e-09	2	1	
4997	4.12231e-09	2	1	
4998	4.12231e-09	2	1	
4999	4.12231e-09	2	0	

